,Player,Role,Price,Team,Year,Origin,Retained
179,Nathan Coulter-Nile,Bowler,2.0,RR,2022,Overseas,No
180,James Neesham,All-Rounder,1.5,RR,2022,Overseas,No
181,Karun Nair,Batsman,1.4,RR,2022,Indian,No
182,Rassie van der Dussen,Batsman,1.0,RR,2022,Overseas,No
183,Obed McCoy,Bowler,0.75,RR,2022,Overseas,No
184,Daryl Mitchell,All-Rounder,0.75,RR,2022,Overseas,No
185,KC Cariappa,Bowler,0.3,RR,2022,Indian,No
186,Tejas Baroka,Bowler,0.2,RR,2022,Indian,No
187,Kuldip Yadav,Bowler,0.2,RR,2022,Indian,No
188,Dhruv Jurel,Wicket-Keeper,0.2,RR,2022,Indian,No
189,Kuldeep Sen,Bowler,0.2,RR,2022,Indian,No
190,Shubham Garhwal,All-Rounder,0.2,RR,2022,Indian,No
191,Anunay Singh,All-Rounder,0.2,RR,2022,Indian,No
192,Virat Kohli,Batsman,15.0,RCB,2022,Indian,Yes
193,Glenn Maxwell,All-Rounder,11.0,RCB,2022,Overseas,Yes
194,Harshal Patel,All-Rounder,10.75,RCB,2022,Indian,No
195,Wanindu Hasaranga,All-Rounder,10.75,RCB,2022,Overseas,No
196,Josh Hazlewood,Bowler,7.75,RCB,2022,Overseas,No
197,Faf du Plessis,Batsman,7.0,RCB,2022,Overseas,No
198,Mohammed Siraj,Bowler,7.0,RCB,2022,Indian,Yes
199,Dinesh Karthik,Wicket-Keeper,5.5,RCB,2022,Indian,No
200,Anuj Rawat,Wicket-Keeper,3.4,RCB,2022,Indian,No
201,Shahbaz Ahmed,All-Rounder,2.4,RCB,2022,Indian,No
202,David Willey,All-Rounder,2.0,RCB,2022,Overseas,No
203,Sherfane Rutherford,All-Rounder,1.0,RCB,2022,Overseas,No
204,Mahipal Lomror,All-Rounder,0.95,RCB,2022,Indian,No
205,Finn Allen,Batsman,0.8,RCB,2022,Overseas,No
206,Jason Behrendorff,Bowler,0.75,RCB,2022,Overseas,No
207,Siddarth Kaul,Bowler,0.75,RCB,2022,Indian,No
208,Karn Sharma,Bowler,0.5,RCB,2022,Indian,No
209,Suyash Prabhudessai,All-Rounder,0.3,RCB,2022,Indian,No
210,Chama Milind,Bowler,0.25,RCB,2022,Indian,No
211,Aneeshwar Gautam,All-Rounder,0.2,RCB,2022,Indian,No
212,Akash Deep,Bowler,0.2,RCB,2022,Indian,No
213,Luvnith Sisodia,Wicket-Keeper,0.2,RCB,2022,Indian,No
214,Kane Williamson,Batsman,14.0,SRH,2022,Overseas,Yes
215,Nicholas Pooran,Wicket-Keeper,10.75,SRH,2022,Overseas,No
216,Washington Sundar,All-Rounder,8.75,SRH,2022,Indian,No
217,Rahul Tripathi,Batsman,8.5,SRH,2022,Indian,No
218,Romario Shepherd,All-Rounder,7.75,SRH,2022,Overseas,No
219,Abhishek Sharma,All-Rounder,6.5,SRH,2022,Indian,No
220,Bhuvneshwar Kumar,Bowler,4.2,SRH,2022,Indian,No
221,Marco Jansen,All-Rounder,4.2,SRH,2022,Overseas,No
222,Umran Malik,Bowler,4.0,SRH,2022,Indian,Yes
223,Abdul Samad,Batsman,4.0,SRH,2022,Indian,Yes
224,T Natarajan,Bowler,4.0,SRH,2022,Indian,No
225,Kartik Tyagi,Bowler,4.0,SRH,2022,Indian,No
226,Aiden Markram,Batsman,2.6,SRH,2022,Overseas,No
227,Sean Abbott,Bowler,2.4,SRH,2022,Overseas,No
228,Glenn Phillips,Wicket-Keeper,1.5,SRH,2022,Overseas,No
229,Shreyas Gopal,Bowler,0.75,SRH,2022,Indian,No
230,Fazalhaq Farooqi,Bowler,0.5,SRH,2022,Overseas,No
231,Vishnu Vinod,Wicket-Keeper,0.5,SRH,2022,Indian,No
232,Priyam Garg,Batsman,0.2,SRH,2022,Indian,No
233,Saurabh Dubey,Bowler,0.2,SRH,2022,Indian,No
234,Jagadeesha Suchith,Bowler,0.2,SRH,2022,Indian,No
235,Shashank Singh,All-Rounder,0.2,SRH,2022,Indian,No
236,Ravikumar Samarth,Batsman,0.2,SRH,2022,Indian,No
237,Ben Stokes,All-Rounder,16.25,CSK,2023,Overseas,No
238,Ravindra Jadeja,All-Rounder,16.0,CSK,2023,Indian,Yes
239,Deepak Chahar,Bowler,14.0,CSK,2023,Indian,Yes
240,MS Dhoni,Wicket-Keeper,12.0,CSK,2023,Indian,Yes
241,Moeen Ali,All-Rounder,8.0,CSK,2023,Overseas,Yes
242,Ambati Rayudu,Batter,6.75,CSK,2023,Indian,Yes
243,Ruturaj Gaikwad,Batter,6.0,CSK,2023,Indian,Yes
244,Shivam Dube,All-Rounder,4.0,CSK,2023,Indian,Yes
245,Mitchell Santner,All-Rounder,1.9,CSK,2023,Overseas,Yes
246,Rajvardhan Hangargekar,Bowler,1.5,CSK,2023,Indian,Yes
247,Prashant Solanki,Bowler,1.2,CSK,2023,Indian,Yes
248,Kyle Jamieson,Bowler,1.0,CSK,2023,Overseas,No
249,Devon Conway,Batter,1.0,CSK,2023,Overseas,Yes
250,Maheesh Theekshana,Bowler,0.7,CSK,2023,Overseas,Yes
251,Nishant Sindhu,All-Rounder,0.6,CSK,2023,Indian,No
252,Ajinkya Rahane,Batter,0.5,CSK,2023,Indian,No
253,Dwaine Pretorius,All-Rounder,0.5,CSK,2023,Overseas,Yes
254,Matheesha Pathirana,Bowler,0.2,CSK,2023,Overseas,Yes
255,Mukesh Choudhary,Bowler,0.2,CSK,2023,Indian,Yes
256,Shaik Rasheed,Batter,0.2,CSK,2023,Indian,No
257,Simarjeet Singh,Bowler,0.2,CSK,2023,Indian,Yes
258,Subhranshu Senapati,Batter,0.2,CSK,2023,Indian,Yes
259,Bhagath Varma,All-Rounder,0.2,CSK,2023,Indian,No
260,Ajay Mandal,All-Rounder,0.2,CSK,2023,Indian,No
261,Tushar Deshpande,Bowler,0.2,CSK,2023,Indian,Yes
262,Rishabh Pant,Wicket-Keeper,16.0,DC,2023,Indian,Yes
263,Axar Patel,All-Rounder,12.0,DC,2023,Indian,Yes
264,Prithvi Shaw,Batter,8.0,DC,2023,Indian,Yes
265,Mitchell Marsh,All-Rounder,6.5,DC,2023,Overseas,Yes
266,Anrich Nortje,Bowler,6.5,DC,2023,Overseas,Yes
267,David Warner,Batter,6.25,DC,2023,Overseas,Yes
268,Mukesh Kumar,Bowler,5.5,DC,2023,Indian,No
269,Khaleel Ahmed,Bowler,5.25,DC,2023,Indian,Yes
270,Rilee Rossouw,Batter,4.6,DC,2023,Overseas,No
271,Chetan Sakariya,Bowler,4.2,DC,2023,Indian,Yes
272,Rovman Powell,Batter,2.8,DC,2023,Overseas,Yes
273,Manish Pandey,Batter,2.4,DC,2023,Indian,No
274,Mustafizur Rahman,Bowler,2.0,DC,2023,Overseas,Yes
275,Kuldeep Yadav,Bowler,2.0,DC,2023,Indian,Yes
276,Philip Salt,Wicket-Keeper,2.0,DC,2023,Overseas,No
277,Kamlesh Nagarkoti,Bowler,1.1,DC,2023,Indian,Yes
278,Lalit Yadav,All-Rounder,0.65,DC,2023,Indian,Yes
279,Ishant Sharma,Bowler,0.5,DC,2023,Indian,No
280,Lungi Ngidi,Bowler,0.5,DC,2023,Overseas,Yes
281,Pravin Dubey,Bowler,0.5,DC,2023,Indian,Yes
282,Yash Dhull,Batter,0.5,DC,2023,Indian,Yes
283,Ripal Patel,Batter,0.2,DC,2023,Indian,Yes
284,Aman Khan,All-Rounder,0.2,DC,2023,Indian,Yes
285,Vicky Ostwal,Bowler,0.2,DC,2023,Indian,Yes
286,Sarfaraz Khan,Batter,0.2,DC,2023,Indian,Yes
287,Cameron Green,All-Rounder,17.5,MI,2023,Overseas,No
288,Rohit Sharma,Batter,16.0,MI,2023,Indian,Yes
289,Ishan Kishan,Wicket-Keeper,15.25,MI,2023,Indian,Yes
290,Jasprit Bumrah,Bowler,12.0,MI,2023,Indian,Yes
291,Tim David,Batter,8.25,MI,2023,Overseas,Yes
292,Jofra Archer,Bowler,8.0,MI,2023,Overseas,Yes
293,Suryakumar Yadav,Batter,8.0,MI,2023,Indian,Yes
294,Dewald Brevis,All-Rounder,3.0,MI,2023,Overseas,Yes
295,Tilak Varma,Batter,1.7,MI,2023,Indian,Yes
296,Jhye Richardson,Bowler,1.5,MI,2023,Overseas,No
297,Jason Behrendorff,Bowler,0.75,MI,2023,Overseas,Yes
298,Piyush Chawla,Bowler,0.5,MI,2023,Indian,No
299,Arjun Tendulkar,Bowler,0.3,MI,2023,Indian,Yes
300,Kumar Kartikeya,Bowler,0.2,MI,2023,Indian,Yes
301,Duan Jansen,Bowler,0.2,MI,2023,Overseas,No
302,Arshad Khan,Bowler,0.2,MI,2023,Indian,Yes
303,Hrithik Shokeen,Bowler,0.2,MI,2023,Indian,Yes
304,Akash Madhwal,Bowler,0.2,MI,2023,Indian,Yes
305,Raghav Goyal,Bowler,0.2,MI,2023,Indian,No
306,Tristan Stubbs,Batter,0.2,MI,2023,Overseas,Yes
307,Nehal Wadhera,All-Rounder,0.2,MI,2023,Indian,No
308,Shams Mulani,All-Rounder,0.2,MI,2023,Indian,No
309,Ramandeep Singh,Batter,0.2,MI,2023,Indian,Yes
310,Vishnu Vinod,Wicket-Keeper,0.2,MI,2023,Indian,No
311,KL Rahul,Batter,17.0,LSG,2023,Indian,Yes
