,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
212,Akash Deep,Bowler,0.2,RCB,2022,Indian,No,Uncapped
213,Luvnith Sisodia,Wicket-Keeper,0.2,RCB,2022,Indian,No,Uncapped
214,Kane Williamson,Batsman,14.0,SRH,2022,Overseas,Yes,Capped
215,Nicholas Pooran,Wicket-Keeper,10.75,SRH,2022,Overseas,No,Capped
216,Washington Sundar,All-Rounder,8.75,SRH,2022,Indian,No,Capped
217,Rahul Tripathi,Batsman,8.5,SRH,2022,Indian,No,Uncapped
218,Romario Shepherd,All-Rounder,7.75,SRH,2022,Overseas,No,Capped
219,Abhishek Sharma,All-Rounder,6.5,SRH,2022,Indian,No,Uncapped
220,Bhuvneshwar Kumar,Bowler,4.2,SRH,2022,Indian,No,Capped
221,Marco Jansen,All-Rounder,4.2,SRH,2022,Overseas,No,Capped
222,Umran Malik,Bowler,4.0,SRH,2022,Indian,Yes,Uncapped
223,Abdul Samad,Batsman,4.0,SRH,2022,Indian,Yes,Uncapped
224,T Natarajan,Bowler,4.0,SRH,2022,Indian,No,Capped
225,Kartik Tyagi,Bowler,4.0,SRH,2022,Indian,No,Uncapped
226,Aiden Markram,Batsman,2.6,SRH,2022,Overseas,No,Capped
227,Sean Abbott,Bowler,2.4,SRH,2022,Overseas,No,Capped
228,Glenn Phillips,Wicket-Keeper,1.5,SRH,2022,Overseas,No,Capped
229,Shreyas Gopal,Bowler,0.75,SRH,2022,Indian,No,Uncapped
230,Fazalhaq Farooqi,Bowler,0.5,SRH,2022,Overseas,No,Capped
231,Vishnu Vinod,Wicket-Keeper,0.5,SRH,2022,Indian,No,Uncapped
232,Priyam Garg,Batsman,0.2,SRH,2022,Indian,No,Uncapped
233,Saurabh Dubey,Bowler,0.2,SRH,2022,Indian,No,Uncapped
234,Jagadeesha Suchith,Bowler,0.2,SRH,2022,Indian,No,Uncapped
235,Shashank Singh,All-Rounder,0.2,SRH,2022,Indian,No,Uncapped
236,Ravikumar Samarth,Batsman,0.2,SRH,2022,Indian,No,Uncapped
237,Ben Stokes,All-Rounder,16.25,CSK,2023,Overseas,No,Capped
238,Ravindra Jadeja,All-Rounder,16.0,CSK,2023,Indian,Yes,Capped
239,Deepak Chahar,Bowler,14.0,CSK,2023,Indian,Yes,Capped
240,MS Dhoni,Wicket-Keeper,12.0,CSK,2023,Indian,Yes,Capped
241,Moeen Ali,All-Rounder,8.0,CSK,2023,Overseas,Yes,Capped
242,Ambati Rayudu,Batter,6.75,CSK,2023,Indian,Yes,Capped
243,Ruturaj Gaikwad,Batter,6.0,CSK,2023,Indian,Yes,Capped
244,Shivam Dube,All-Rounder,4.0,CSK,2023,Indian,Yes,Capped
245,Mitchell Santner,All-Rounder,1.9,CSK,2023,Overseas,Yes,Capped
246,Rajvardhan Hangargekar,Bowler,1.5,CSK,2023,Indian,Yes,Uncapped
247,Prashant Solanki,Bowler,1.2,CSK,2023,Indian,Yes,Uncapped
248,Kyle Jamieson,Bowler,1.0,CSK,2023,Overseas,No,Capped
249,Devon Conway,Batter,1.0,CSK,2023,Overseas,Yes,Capped
250,Maheesh Theekshana,Bowler,0.7,CSK,2023,Overseas,Yes,Capped
251,Nishant Sindhu,All-Rounder,0.6,CSK,2023,Indian,No,Uncapped
252,Ajinkya Rahane,Batter,0.5,CSK,2023,Indian,No,Capped
253,Dwaine Pretorius,All-Rounder,0.5,CSK,2023,Overseas,Yes,Capped
254,Matheesha Pathirana,Bowler,0.2,CSK,2023,Overseas,Yes,Capped
255,Mukesh Choudhary,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
256,Shaik Rasheed,Batter,0.2,CSK,2023,Indian,No,Uncapped
257,Simarjeet Singh,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
258,Subhranshu Senapati,Batter,0.2,CSK,2023,Indian,Yes,Uncapped
259,Bhagath Varma,All-Rounder,0.2,CSK,2023,Indian,No,Uncapped
260,Ajay Mandal,All-Rounder,0.2,CSK,2023,Indian,No,Uncapped
261,Tushar Deshpande,Bowler,0.2,CSK,2023,Indian,Yes,Uncapped
262,Rishabh Pant,Wicket-Keeper,16.0,DC,2023,Indian,Yes,Capped
263,Axar Patel,All-Rounder,12.0,DC,2023,Indian,Yes,Capped
264,Prithvi Shaw,Batter,8.0,DC,2023,Indian,Yes,Capped
265,Mitchell Marsh,All-Rounder,6.5,DC,2023,Overseas,Yes,Capped
266,Anrich Nortje,Bowler,6.5,DC,2023,Overseas,Yes,Capped
267,David Warner,Batter,6.25,DC,2023,Overseas,Yes,Capped
268,Mukesh Kumar,Bowler,5.5,DC,2023,Indian,No,Uncapped
269,Khaleel Ahmed,Bowler,5.25,DC,2023,Indian,Yes,Capped
270,Rilee Rossouw,Batter,4.6,DC,2023,Overseas,No,Capped
271,Chetan Sakariya,Bowler,4.2,DC,2023,Indian,Yes,Capped
272,Rovman Powell,Batter,2.8,DC,2023,Overseas,Yes,Capped
273,Manish Pandey,Batter,2.4,DC,2023,Indian,No,Capped
274,Mustafizur Rahman,Bowler,2.0,DC,2023,Overseas,Yes,Capped
275,Kuldeep Yadav,Bowler,2.0,DC,2023,Indian,Yes,Capped
276,Philip Salt,Wicket-Keeper,2.0,DC,2023,Overseas,No,Capped
277,Kamlesh Nagarkoti,Bowler,1.1,DC,2023,Indian,Yes,Uncapped
278,Lalit Yadav,All-Rounder,0.65,DC,2023,Indian,Yes,Uncapped
279,Ishant Sharma,Bowler,0.5,DC,2023,Indian,No,Capped
