Player Name,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
Shahbaz Ahmed,India,28,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
David Willey,England,32,All-rounder,LHB,LEFT ARM Fast Medium,Capped,
Reece Topley,England,29,BOWLER,RHB,LEFT ARM Fast,Capped,75
Mahipal Lomror,India,23,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Finn Allen,New Zealand,23,Wicketkeeper,RHB,-,Capped,
Siddarth Kaul,India,32,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Rajan Kumar,India,26,BOWLER,LHB,LEFT ARM Fast,Uncapped,20
Avinash Singh,India,24,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Karn Sharma,India,35,Bowler,LHB,RIGHT ARM Leg Spin,Capped,
Suyash Prabhudessai,India,25,All-rounder,RHB,RIGHT ARM Medium,Uncapped,
Sonu Yadav,India,23,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Manoj Bhandage,India,24,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,Uncapped,20
Akash Deep,India,26,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,
Himanshu Sharma,India,24,BOWLER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Rajat Patidar,India,29,Batsman,RHB,-,Uncapped,
Harry Brook,England,24,BATSMAN,RHB,RIGHT ARM Medium,Capped,150
Washington Sundar,India,23,All-rounder,LHB,RIGHT ARM Off Spin,Capped,
Rahul Tripathi,India,31,Batsman,RHB,-,Capped,
Mayank Agarwal,India,32,BATSMAN,RHB,RIGHT ARM Off Spin,Capped,100
Abhishek Sharma,India,22,All-rounder,LHB,LEFT ARM Slow Orthodox,Uncapped,
Heinrich Klaasen,South Africa,31,WICKETKEEPER,RHB,-,Capped,100
Bhuvneshwar Kumar,India,32,Bowler,RHB,RIGHT ARM Fast Medium,Capped,
Marco Jansen,South Africa,22,All-rounder,RHB,LEFT ARM Fast,Capped,
Abdul Samad,India,21,All-rounder,RHB,RIGHT ARM Leg Spin,Uncapped,
Umran Malik,India,23,Bowler,RHB,RIGHT ARM Fast,Capped,
T Natarajan,India,31,Bowler,LHB,LEFT ARM Fast Medium,Capped,
Kartik Tyagi,India,22,Bowler,RHB,RIGHT ARM Fast,Uncapped,
Aiden Markram,South Africa,28,Batsman,RHB,RIGHT ARM Off Spin,Capped,
Vivrant Sharma,India,23,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,Uncapped,20
Adil Rashid,England,35,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,200
Mayank Dagar,India,26,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,Uncapped,20
Glenn Phillips,New Zealand,26,Wicketkeeper,RHB,-,Capped,
Akeal Hosein,West Indies,29,BOWLER,LHB,LEFT ARM Slow Orthodox,Capped,100
Mayank Markande,India,25,BOWLER,RHB,RIGHT ARM Leg Spin,Capped,50
Fazalhaq Farooqi,Afghanistan,22,Bowler,RHB,LEFT ARM Fast Medium,Capped,
Upendra Yadav,India,26,WICKETKEEPER,RHB,-,Uncapped,20
Sanvir Singh,India,26,ALL-ROUNDER,RHB,RIGHT ARM Fast,Uncapped,20
Samarth Vyas,India,27,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,Uncapped,20
Nitish Kumar Reddy,India,19,WICKETKEEPER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Anmolpreet Singh,India,25,BATSMAN,RHB,RIGHT ARM Off Spin,Uncapped,20
Abhishek Porel,India,20,WICKETKEEPER,LHB,-,Uncapped,20
Sandeep Sharma,India,29,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,50
Sisanda Magala,South Africa,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,50
Sandeep Warrier,India,32,ALL-ROUNDER,RHB,RIGHT ARM Fast,Capped,50
Riley Meredith,Australia,26,BOWLER,RHB,RIGHT ARM Fast,Capped,150
Michael Bracewell,New Zealand,32,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,Capped,100
Matthew Short,Australia,27,All-rounder,RHB,RIGHT ARM Off Spin,Uncapped,20
Akash Singh,India,20,BOWLER,RHB,LEFT ARM Fast,Uncapped,20
Dasun Shanaka,Sri Lanka,31,ALL-ROUNDER,RHB,RIGHT ARM Medium,Capped,50
Aarya Desai,India,19,Batsman,LHB,-,Uncapped,20
Vijaykumar Vyshak,India,26,BOWLER,RHB,RIGHT ARM Fast,Uncapped,20
Jason Roy,England,32,BATSMAN,RHB,-,Capped,150
Gurnoor Brar,India,22,BOWLER,LHB,RIGHT ARM Fast,Uncapped,20
Wayne Parnell,South Africa,33,ALL-ROUNDER,LHB,LEFT ARM Fast,Capped,75
Arpit Guleria,India,25,Bowler,RHB,RIGHT ARM Fast Medium,Uncapped,20
Priyam Garg,India,22,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,Uncapped,20
Johnson Charles,West Indies,34,WICKETKEEPER,RHB,-,Capped,50
Kedar Jadhav,India,37,All-rounder,RHB,RIGHT ARM Off Spin,Capped,100
Suryansh Shedge,India,20,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,Uncapped,20
Karun Nair,India,31,BATSMAN,RHB,RIGHT ARM Off Spin,Capped,50
Chris Jordan,England,34,BOWLER,RHB,RIGHT ARM Fast Medium,Capped,200
