,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
105,Alzarri Joseph,GT,2022,2.4,No,No,West Indies,25,Bowler,RHB,Right Arm Fast,Capped,0.75
106,Matthew Wade,GT,2022,2.4,No,No,Australia,34,Wicketkeeper,LHB,-,Capped,2.0
107,Jason Roy,GT,2022,2.0,No,No,England,31,Batsman,RHB,-,Capped,2.0
108,Wriddhiman Saha,GT,2022,1.9,No,No,India,37,Wicketkeeper,RHB,-,Capped,1.0
109,Jayant Yadav,GT,2022,1.7,No,No,India,32,All-Rounder,RHB,Right Arm Off Spin,Capped,1.0
110,Vijay Shankar,GT,2022,1.4,No,No,India,31,All-Rounder,RHB,Right Arm Fast Medium,Capped,0.5
111,Dominic Drakes,GT,2022,1.1,No,No,West Indies,24,All-Rounder,LHB,Left Arm Fast,Capped,0.75
112,Varun Aaron,GT,2022,0.5,No,No,India,32,Bowler,RHB,Right Arm Fast,Capped,0.5
113,Gurkeerat Singh Mann,GT,2022,0.5,No,No,India,31,All-Rounder,RHB,Right Arm Off Spin,Capped,0.5
114,Noor Ahmad,GT,2022,0.3,No,No,Afghanistan,17,Bowler,RHB,Left Arm Slow Unorthodox,Uncapped,0.3
115,Darshan Nalkande,GT,2022,0.2,No,No,India,23,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,0.2
116,Sai Sudharsan,GT,2022,0.2,No,No,India,20,All-Rounder,LHB,Right Arm Leg Spin,Uncapped,0.2
117,Pradeep Sangwan,GT,2022,0.2,No,No,India,31,All-Rounder,RHB,Left Arm Fast,Uncapped,0.2
118,Shreyas Iyer,KKR,2022,12.25,No,No,India,27,Batsman,RHB,Right Arm Leg Spin,Capped,2.0
119,Andre Russell,KKR,2022,12.0,No,Yes,West Indies,33,All-Rounder,RHB,Right Arm Fast,Capped,
120,Nitish Rana,KKR,2022,8.0,No,No,India,28,All-Rounder,LHB,Right Arm Off Spin,Capped,1.0
121,Varun Chakravarthy,KKR,2022,8.0,No,Yes,India,30,Bowler,RHB,Right Arm Leg Spin,Capped,
122,Venkatesh Iyer,KKR,2022,8.0,No,Yes,India,27,All-Rounder,LHB,Right Arm Medium,Capped,
