,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
16,1422131,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2024,DC,bat,Group Stage,DC,191,5,120,CSK,171,6,120
17,1370353,CSK,"Narendra Modi Stadium, Ahmedabad",2023,CSK,field,Final,GT,214,4,120,CSK,171,5,94
18,1359481,GT,"Arun Jaitley Stadium, Delhi",2023,GT,field,Group Stage,DC,162,8,120,GT,163,4,115
19,1422127,RR,"Sawai Mansingh Stadium, Jaipur",2024,DC,field,Group Stage,RR,185,5,120,DC,173,5,120
20,1312200,GT,"Narendra Modi Stadium, Ahmedabad",2022,RR,bat,Final,RR,130,9,120,GT,133,3,113
21,1304100,RCB,"Wankhede Stadium, Mumbai",2022,RCB,bat,Group Stage,RCB,192,3,120,SRH,125,10,120
22,1473485,KKR,"Arun Jaitley Stadium, Delhi",2025,DC,field,Group Stage,KKR,204,9,120,DC,190,9,120
23,1426282,RR,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,RR,field,Group Stage,LSG,196,5,120,RR,199,3,116
24,1304065,DC,"Brabourne Stadium, Mumbai",2022,KKR,field,Group Stage,DC,215,5,120,KKR,171,10,120
25,1304073,RCB,"Wankhede Stadium, Mumbai",2022,DC,field,Group Stage,RCB,189,5,120,DC,173,7,120
26,1426294,DC,"Arun Jaitley Stadium, Delhi",2024,RR,field,Group Stage,DC,221,8,120,RR,201,8,120
27,1473470,MI,"Wankhede Stadium, Mumbai",2025,MI,field,Group Stage,SRH,162,5,120,MI,166,6,113
28,1426312,KKR,"MA Chidambaram Stadium, Chepauk, Chennai",2024,SRH,bat,Final,SRH,113,10,117,KKR,114,2,67
29,1359531,MI,"Wankhede Stadium, Mumbai",2023,GT,field,Group Stage,MI,218,5,120,GT,191,8,120
30,1359527,KKR,"Eden Gardens, Kolkata",2023,PBKS,bat,Group Stage,PBKS,179,7,120,KKR,182,5,120
31,1473489,RCB,"M Chinnaswamy Stadium, Bengaluru",2025,CSK,field,Group Stage,RCB,213,5,120,CSK,211,5,120
32,1473466,MI,"Arun Jaitley Stadium, Delhi",2025,DC,field,Group Stage,MI,205,5,120,DC,193,10,119
33,1304049,PBKS,"Dr DY Patil Sports Academy, Mumbai",2022,PBKS,field,Group Stage,RCB,205,2,120,PBKS,208,5,120
34,1304048,DC,"Brabourne Stadium, Mumbai",2022,DC,field,Group Stage,MI,177,5,120,DC,179,6,117
35,1473488,GT,"Narendra Modi Stadium, Ahmedabad",2025,SRH,field,Group Stage,GT,224,6,120,SRH,186,6,120
36,1473467,CSK,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,CSK,field,Group Stage,LSG,166,7,120,CSK,168,5,120
37,1426305,LSG,"Wankhede Stadium, Mumbai",2024,MI,field,Group Stage,LSG,214,6,120,MI,196,6,120
38,1359526,SRH,"Sawai Mansingh Stadium, Jaipur",2023,RR,bat,Group Stage,RR,214,2,120,SRH,217,6,120
39,1359475,GT,"Narendra Modi Stadium, Ahmedabad",2023,GT,field,Group Stage,CSK,178,7,120,GT,182,5,120
40,1359530,RR,"Eden Gardens, Kolkata",2023,RR,field,Group Stage,KKR,149,8,120,RR,151,1,82
41,1473471,PBKS,"M Chinnaswamy Stadium, Bengaluru",2025,PBKS,field,Group Stage,RCB,95,9,85,PBKS,98,5,75
42,1426295,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,LSG,bat,Group Stage,LSG,165,4,120,SRH,167,0,60
43,1304072,LSG,"Brabourne Stadium, Mumbai",2022,MI,field,Group Stage,LSG,199,4,120,MI,181,9,120
44,1304064,RCB,"Maharashtra Cricket Association Stadium, Pune",2022,RCB,field,Group Stage,MI,151,6,120,RCB,152,3,114
45,1426283,RCB,"Narendra Modi Stadium, Ahmedabad",2024,RCB,field,Group Stage,GT,200,3,120,RCB,206,1,100
46,1473484,RR,"Sawai Mansingh Stadium, Jaipur",2025,RR,field,Group Stage,GT,209,4,120,RR,212,2,99
47,1304101,CSK,"Dr DY Patil Sports Academy, Mumbai",2022,DC,field,Group Stage,CSK,208,6,120,DC,117,10,108
